Demand Cluster,Difficulty Cluster,Growth Cluster,ID,Lct Id,Lightcast Skill,Resilience Cluster,Skill Category,Skill Major Category,Skill MajorCategory Code,Skill MajorCategory Code (group),Skill Subcategory Name,Skill Super Category,Value Cluster,Xskill Category Name,Complexity,Complexity Norm,Demand,Demand Norm,Difficulty,Difficulty Norm,Education,Education Norm,Experience,Experience Norm,Growth,Growth Norm,Resilience,Resilience Norm,Stability,Stability Norm,Ubiquity,Ubiquity Norm,Value,Value Norm,SSG_Skill,SSG_ID
Low Demand,Low Difficulty,High Growth,421,KS440716RT2RF5HBMY8B,child safeguarding,Low Resilience,Personal Care and Services,Personal Care and Services,50,50,Child Care,Services,High Value,Personal Care and Services,-0.117568491,0.262944455,206,0.000318774,0.421834296,0.421834296,1.963175,0.626055909,4.282883,0.376502523,1.767857218,0.159900606,0.142482571,0.142482571,18,0.222222222,30.25,0.062742921,"$91,800 ",0.445805844,['child safety and protection'],['7f807d0a8943c2ca6b942826cc2aac1d6a2f8a48a56c2f078fae54efe50f0b1e']
High Demand,Low Difficulty,High Growth,422,KS124WD6XB7RT57LR817,hygiene,High Resilience,Health Care,Health Care,29,29,Home Health Care and Assisted Living,Health,Low Value,Health Care,-2.169547486,0.046608524,1711.75,0.002709781,0.124262448,0.124262448,0.517153,0.157978558,2.626438,0.168200262,1.183687548,0.102090534,0.418546624,0.418546624,58,0.716049383,56.5,0.121043865,"$31,200 ",0.065032988,"['health, hygiene and nutrition for children', 'washroom maintenance']","['00c5510d076dc4cc6c604f76a8c7fbd44d03519ce9e6f1761aae64bfac7008a7', '9c33593de5c63436fc3f62051f1807cfc5e5193c4d38ef30f6c9c993ad0dd49e']"
High Demand,Low Difficulty,High Growth,423,KS128HP65N6N70YV5ZM7,relationship building,High Resilience,Business,"Business, Finance, and Marketing",13,13,People Management,Business,High Value,Business,-0.400867017,0.233076873,15981.5,0.025368962,0.392404249,0.392404249,1.346474,0.426429783,5.405751,0.517706092,1.052512788,0.089109336,0.572723658,0.572723658,68,0.839506173,139.75,0.305941144,"$73,800 ",0.332704995,['interaction and relationship'],['67410bf8aee6fc6efba71bc306ef564ca678dabc158d669a0703a82e9543cbda']
High Demand,Low Difficulty,High Growth,424,KS1280P6542CXXZN0FHY,caregiving,High Resilience,Health Care,Health Care,29,29,Home Health Care and Assisted Living,Health,Low Value,Health Care,-1.475431913,0.119787703,1753.5,0.002776076,0.176325106,0.176325106,0.670537,0.207628962,2.891708,0.201558653,1.486650401,0.132072071,0.428050946,0.428050946,59,0.728395062,59.5,0.12770683,"$36,000 ",0.095193214,['responsive caregiving approaches'],['d271341091a6763d9ecc48babbdadf9801a1885acd900c3cdf4ac44f72c68d0b']
Low Demand,Low Difficulty,High Growth,425,BGS4DBAAD99726D5CC5E,special needs children,High Resilience,Education and Training,Education and Training,23,21 & 23,Special Education,"Education, Law, and Community",Low Value,Education and Training,-1.292855053,0.139036407,254.25,0.000395391,0.221412158,0.221412158,0.953858,0.299339976,3.084956,0.225860091,1.467364085,0.130163476,0.374274237,0.374274237,56,0.691358025,27.75,0.05719045,"$37,800 ",0.106503299,['child functional needs assessment'],['ccc88624e6c715bc52a669dbb70f0f3633d337920d2a5692b2b34d4a35e9692a']
High Demand,Low Difficulty,High Growth,426,ES48A2564DDF220563EB,early intervention,High Resilience,Health Care,Health Care,29,29,Mental and Behavioral Health Specialties,Health,Low Value,Health Care,-1.236549508,0.144972585,1273,0.002013082,0.301514962,0.301514962,1.816946,0.578721579,2.727036,0.180850721,1.194662364,0.103176614,0.38864554,0.38864554,55,0.679012346,46.25,0.098278734,"$42,000 ",0.132893497,"['child screening and assessment', 'early intervention principles and practices', 'social service (early intervention) programme development and implementation', 'early intervention curriculum design']","['ae0c2b5b8fffcd86a6b16bd40a8d2c964a91f11149252d74401310a950503f1b', 'dc4a01466e86f811fdbedd57b37a45d4617a249237c92c8f837e186d8253f80e', '0358a727447835c29bb0d944bb6fc8459cecbde550f8cd89a6823014b8205cc3', '210c8dc4de36c011a0460bc8eba0119458124ce887a480b555848a6c9737b53d']"
High Demand,Low Difficulty,High Growth,427,ES47CBF3D374F86894E5,intervention plans,High Resilience,Health Care,Health Care,29,29,Mental Health Therapies,Health,Low Value,Health Care,-1.31659786,0.136533251,605.5,0.000953147,0.305239521,0.305239521,1.636783,0.520402812,3.346759,0.258782499,1.406691945,0.124159294,0.399945846,0.399945846,58,0.716049383,39.75,0.08384231,"$51,000 ",0.189443921,"['individualised intervention planning and implementation', 'development on intervention plan for physiotherapy', 'intervention planning in speech therapy', 'intervention planning in genetic counselling']","['5395b09130598e2e1ba0a978eea912c53be9dcbc2406ed9bfa93017951e7f302', '7fcacae1bd5d0aebc630edeecaa22d677fc3719397ce03311653bdbe514bfc82', 'd65810f8dae8da32d58013bb0b496faf15dd7e9d16faef7461aef0fe44668320', '1fc264fb42fb87617f27a49fbd4eb7914251616ffbfdbde3da77351cccea3e3a']"
High Demand,Low Difficulty,High Growth,428,KS125SS6Z01PYP99SN5G,lesson planning,High Resilience,Education and Training,Education and Training,23,21 & 23,Teaching,"Education, Law, and Community",Low Value,Education and Training,-1.288674905,0.139477111,3749.5,0.005945559,0.236212828,0.236212828,1.33943,0.42414964,2.44204,0.145011734,1.434140489,0.126875632,0.426940451,0.426940451,59,0.728395062,58.5,0.125485841,"$36,000 ",0.095193214,['learning support session planning and implementation'],['41815cd208750f22833aad59d346d9b99ff6e1e1385ebef05d5da1d840a4f598']
Low Demand,Low Difficulty,High Growth,429,ES6F74457CD122F14F6F,family engagement,Low Resilience,Social and Human Services,Social and Human Services,23,21 & 23,Community and Social Work,"Education, Law, and Community",Low Value,Social and Human Services,-0.598035889,0.212289764,28.5,3.69E-05,0.314197869,0.314197869,1.53479,0.487387676,3.220588,0.242916168,1.760649108,0.159187284,0.1180517,0.1180517,18,0.222222222,8.25,0.013881177,"$36,600 ",0.098963242,['family and caregiver engagement'],['2c0bdba05fe69b1f8db1eb57f8e0557c31da56e488df6d9b490117179b01ad4d']
High Demand,Low Difficulty,High Growth,430,KS1228S6YKWXMH4M4DL7,conflict resolution,High Resilience,"Law, Regulation, and Compliance","Law, Regulation, and Safety",21,21 & 23,Litigation and Civil Justice,"Education, Law, and Community",High Value,"Law, Regulation, and Compliance",0.007984588,0.276181258,4550.5,0.007217481,0.40378224,0.40378224,1.278786,0.404519176,5.508653,0.530646285,1.197877702,0.103494807,0.501456667,0.501456667,65,0.802469136,92.25,0.200444198,"$69,000 ",0.302544769,['situation management with families and community'],['a5ddf6c9f1477dc4731527470d3dada381380baa24300812c6a2e8e7c5be3237']
High Demand,Low Difficulty,Low Growth,431,KS1225K67C74NWDXNJSL,community development,Low Resilience,Social and Human Services,Social and Human Services,23,21 & 23,Community and Social Work,"Education, Law, and Community",Low Value,Social and Human Services,-0.425731561,0.230455455,1127.25,0.001781643,0.372436807,0.372436807,1.623298,0.516037718,4.237673,0.370817249,0.939496049,0.077925075,0.256877181,0.256877181,31,0.382716049,61,0.131038312,"$48,540 ",0.173986805,"['community partnership', 'community development']","['a6f345bba95e88d7cfd217b02238f88fb57bff4ff5fd264e4a449adea743632f', 'ba4e017257a9f9ecdcdf118e84514b117207f077743f56f18cfbc214c9758420']"
High Demand,Low Difficulty,Low Growth,432,KS1253H61TTR1FZWSRH4,innovation,High Resilience,Physical and Inherent Abilities,Physical and Inherent Abilities,50,50,Critical Thinking and Problem Solving,Abilities,High Value,Physical and Inherent Abilities,-0.000498555,0.275286898,81616.75,0.129592306,0.437796325,0.437796325,1.650888,0.524968601,5.369389,0.513133476,0.956446285,0.079602489,0.739328631,0.739328631,77,0.950617284,239.75,0.528039978,"$72,000 ",0.32139491,"['centre innovation and change adoption', 'drive productivity and innovation', 'innovation']","['4994693453c17fbc69b1c5052e12d283136698ed77403ed46951481b62f8cba3', '4f4eed89b7d3e9a264d8cff0a3d8ccf5e65feafe2f2958091892fb2821895520', '6611032577e5a7b3a146e7b2111117b71a2a7b0fa4ef2861353816730a4f4a02']"
High Demand,Low Difficulty,High Growth,433,KS123CQ6YWBJJH0NDXJK,human resources information system (hris),Low Resilience,Human Resources,"Business, Finance, and Marketing",13,13,Human Resources Software,Business,Low Value,Human Resources,0.377755075,0.315165401,6638.25,0.010532655,0.385855099,0.385855099,1.56404,0.496855902,4.036697,0.345543994,1.183169162,0.102039234,0.199703868,0.199703868,27,0.333333333,31.75,0.066074403,"$46,200 ",0.159283695,['data and information management'],['85f070e5cb701b38dc3d13a43705bbfadac398bd9ebd0ddcf241c74713f3808b']
High Demand,Low Difficulty,High Growth,434,KS43I7T7CU4Q66EGVQLU,coaching,High Resilience,Physical and Inherent Abilities,Physical and Inherent Abilities,50,50,Initiative and Leadership,Abilities,High Value,Physical and Inherent Abilities,-1.04262581,0.165417562,44282,0.070307814,0.357639943,0.357639943,1.217997,0.384841775,5.445149,0.522660492,1.119148155,0.095703645,0.740977235,0.740977235,81,1,219,0.48195447,"$63,000 ",0.264844486,"['coaching and mentoring for educators', 'coaching and mentoring']","['ca5bdb1ad3375202ce724afe5f18edba18fcd92ad1752c921a986b81e8ce0a4f', 'a09a96baceea7bcf7f8914aae495276565e28f2a8e8205ac078f6f3b2eaa4953']"
High Demand,High Difficulty,High Growth,435,ESD01C481E39EFBF2C84,collaborative research,High Resilience,Science and Research,Science and Research,19,17 & 19,General Science and Research,"Science, Engineering, and Manufacturing",High Value,Science and Research,1.071922264,0.388350022,700.75,0.001104396,0.563686944,0.563686944,2.947936,0.944823066,4.134856,0.357887744,1.066674794,0.090510824,0.360067452,0.360067452,51,0.62962963,42.75,0.090505275,"$78,000 ",0.359095193,['collaborative practices with stakeholders across disciplines'],['38af4dcc796a2e19dcf26ee2ac1779280ddaf5376c02f3380c755f90ba63828a']
High Demand,Low Difficulty,Low Growth,436,KS122B071LMGXVTT3Z91,consulting,High Resilience,Business,"Business, Finance, and Marketing",13,13,Business Consulting,Business,High Value,Business,-0.28482005,0.245311466,52711,0.083692368,0.444140943,0.444140943,1.828067,0.582321447,5.30304,0.504789916,0.978595861,0.081794436,0.615217198,0.615217198,64,0.790123457,200.25,0.440310938,"$69,000 ",0.302544769,['professional consultation'],['ace1fe92df21089c4c9ccda75a0d40ce7b660c3a937e3d484cd9f0132357bf5c']
Low Demand,Low Difficulty,High Growth,437,KS128GK6NXJQP0KMD8BS,reflective practice,High Resilience,Social and Human Services,Social and Human Services,23,21 & 23,Counseling Services,"Education, Law, and Community",Low Value,Social and Human Services,-1.155498833,0.153517591,323.25,0.000504958,0.309083659,0.309083659,1.835477,0.584720064,2.791946,0.189013322,1.276294076,0.111254978,0.314897074,0.314897074,48,0.592592593,18.75,0.037201555,"$36,000 ",0.095193214,"['reflective practice for educators', 'reflexive practice']","['c34a3506c57a7a127a420febc24aef4f0189e5ee28be2e5924ad735af04965af', '17686bafa5fc2bb16eb412532b55d8c37bf330509bd96eed4c5a73cfd8a0e951']"
High Demand,Low Difficulty,High Growth,438,ESC5567F7A6FA12D0DCD,resilience,High Resilience,Physical and Inherent Abilities,Physical and Inherent Abilities,50,50,Personal Attributes,Abilities,High Value,Physical and Inherent Abilities,0.15509905,0.291691234,24820.75,0.03940496,0.442625797,0.442625797,1.654928,0.526276349,5.343754,0.509909808,1.022573771,0.086146538,0.610610703,0.610610703,70,0.864197531,162.75,0.357023876,"$67,200 ",0.291234684,['resilience and self-care'],['5bbcfe47bf92aec6d5a93fb86667c6cda194b62987f115f43045d816feeedf29']
High Demand,Low Difficulty,High Growth,439,BGS4150D6302D45C7AD5,employee communications,High Resilience,Human Resources,"Business, Finance, and Marketing",13,13,Employee Relations,Business,Low Value,Human Resources,0.37798156,0.315189279,1184.75,0.001872948,0.423143955,0.423143955,1.562653,0.49640693,4.929654,0.457835657,1.156796699,0.099429386,0.297358806,0.297358806,43,0.530864198,30.75,0.063853415,"$51,600 ",0.193213949,['staff communication and engagement'],['ae8d5b681f89495e35cef8b5b517e984d5800b710af014b95c30275f13a9156c']
High Demand,High Difficulty,Low Growth,440,ESB17C5AF46AFE08157D,advanced analytics,High Resilience,Data Management and Analytics,Information Technology,15,15,Data Analysis,IT,High Value,Analysis,1.835888262,0.468893388,3766.25,0.005972157,0.537337849,0.537337849,1.851437,0.589886317,5.688272,0.553233841,0.852120611,0.069278306,0.339965451,0.339965451,45,0.555555556,58,0.124375347,"$96,000 ",0.472196041,['data analytics system design'],['aabacbbc7f822e900e763064424c0d464430b728cf975db026256d5a51473095']
High Demand,Low Difficulty,High Growth,441,KS122J568D81JFNRTPN6,crisis management,High Resilience,Marketing and Public Relations,"Business, Finance, and Marketing",13,13,Public Relations,Business,High Value,Marketing and Public Relations,0.040187135,0.279576306,4343.25,0.006888385,0.421621289,0.421621289,1.56527,0.497254053,5.169791,0.488033509,1.093385371,0.093154132,0.476847568,0.476847568,58,0.716049383,109,0.237645752,"$63,000 ",0.264844486,"['crisis management', 'risk and crisis management']","['8dd990d227d4be4da5cb4e877720eec4c81d8350af9af714dbe4b9b570b2764b', '8972eb6da1b94eedc509cad09f0e54b02fc7bb25760e7c6052ff9287bf35d024']"
Low Demand,Low Difficulty,Low Growth,442,KS123G05WMLW6Z9S5BP0,electrostatic discharge,Low Resilience,Engineering,Engineering and Construction,17,17 & 19,Electrical and Computer Engineering,"Science, Engineering, and Manufacturing",Low Value,Engineering,1.958494067,0.481819466,95.25,0.000142913,0.330022186,0.330022186,0.747661,0.232594002,3.480916,0.27565309,0.813972199,0.065503097,0.172921765,0.172921765,25,0.308641975,18.75,0.037201555,"$32,400 ",0.072573044,['electrostatic discharge control'],['cf7be5780bdec27f33f5fb2f1292b552df79499bf6000b4b6e0558d1c92d762b']
Low Demand,High Difficulty,Low Growth,443,KS1264K6KNS0XZ5K4NGS,manufacturing operations management,Low Resilience,Manufacturing and Production,Manufacturing and Production,47,47,Plant Operations and Management,"Science, Engineering, and Manufacturing",High Value,Manufacturing and Production,2.259389359,0.513542238,46.25,6.51E-05,0.496243487,0.496243487,1.718131,0.546735162,4.696,0.428453059,0.974298495,0.081369164,0.064374387,0.064374387,8,0.098765432,15.5,0.029983343,"$76,500 ",0.349670123,['factory system management'],['b49cc445ed296f62f486c90d2988d82a9e9c6440d943b1fa1e4e09bc20205246']
High Demand,Low Difficulty,Low Growth,444,ESB2877A0E158B0F0B41,metrology,High Resilience,Science and Research,Science and Research,19,17 & 19,General Science and Research,"Science, Engineering, and Manufacturing",Low Value,Science and Research,0.941163989,0.374564445,2321.75,0.00367841,0.371609285,0.371609285,1.340864,0.424613826,3.798973,0.315649584,0.963520329,0.080302545,0.412178419,0.412178419,54,0.666666667,73,0.157690172,"$51,000 ",0.189443921,['metrology management'],['b3b348a0d393638518660e6dda851d2facf7d3566499826038c6ff79b66d92ec']
Low Demand,Low Difficulty,High Growth,445,KS3AVQO9ZIIV19T212G6,system shutdown,Low Resilience,System and IT Infrastructure,Information Technology,15,15,Computer Hardware,IT,Low Value,Information Technology,1.508236565,0.434349742,22,2.66E-05,0.277557311,0.277557311,0.744318,0.231511873,2.615385,0.166810318,1.263122705,0.109951525,0.152034878,0.152034878,24,0.296296296,5.5,0.007773459,"$37,200 ",0.10273327,['production shut-down and re-start'],['e8c8d9be76306c5d63fb21610ed274be60ed996e7779e7f12ccaf06860acc5aa']
Low Demand,High Difficulty,Low Growth,446,ESA766A14D624E14C48E,product launch readiness,Low Resilience,Business,"Business, Finance, and Marketing",13,13,Product Management,Business,High Value,Business,1.605030545,0.444554533,166.25,0.000255655,0.55221564,0.55221564,2.043329,0.652001761,5.742798,0.560090627,0.847804699,0.068851199,0.104677785,0.104677785,13,0.160493827,24,0.048861743,"$108,000 ",0.547596607,['new product introduction'],['b8bbff24f2682b66f998e24a8fedc9c7c9d1972c6fa96f08aa1393cfac7666c3']
High Demand,Low Difficulty,Low Growth,447,KS1203C6N9B52QGB4H67,research,High Resilience,Science and Research,Science and Research,19,17 & 19,General Science and Research,"Science, Engineering, and Manufacturing",High Value,Science and Research,-0.774488692,0.193686707,138597.25,0.220072623,0.367332623,0.367332623,1.731612,0.551098962,4.129484,0.357212201,0.893679108,0.073390981,0.79408559,0.79408559,78,0.962962963,283.5,0.625208218,"$60,000 ",0.245994345,['research'],['66f62d1807d3821a3865f2573b69c74be033f1341240ac861fefc6d430bff5e0']
High Demand,Low Difficulty,High Growth,448,KS125F678LV2KB3Z5XW0,problem solving,High Resilience,Physical and Inherent Abilities,Physical and Inherent Abilities,50,50,Critical Thinking and Problem Solving,Abilities,Low Value,Physical and Inherent Abilities,-0.11016362,0.263725135,195592,0.310575568,0.35943368,0.35943368,1.282472,0.405712334,4.540222,0.408863571,1.104550745,0.094259069,0.749192835,0.749192835,75,0.925925926,259.75,0.572459745,"$57,600 ",0.230914232,"['solutioning', 'problem identification', 'problem solving']","['b73d8f16dfe92448dcc9b9d34a0823e55ec3b1c7be3eeeeca38da64412ac4c42', 'aac321a9fc903a239c8c90ddb26afe83cc69b1a28a5367dfcb7dd71b842c306f', '682c9ffb347dde323882c513f8dc39aab12c6f31297f21be051c7559448662bd']"
Low Demand,High Difficulty,Low Growth,449,KS4403J62J3XN1M6V1TT,risk-based testing,Low Resilience,Software Development and Programming,Information Technology,15,15,Software Quality Assurance,IT,High Value,Information Technology,3.466179661,0.640771661,54.5,7.82E-05,0.624153002,0.624153002,1.85077,0.589670409,6.394286,0.642016936,0.898217365,0.073840091,0.154190745,0.154190745,23,0.283950617,13,0.024430872,"$93,000 ",0.4533459,['parametric testing'],['b2512ea1231863ec43596969a1be0eb0e3bcd3bbb9736d0ce026a134a765b23f']
Low Demand,High Difficulty,High Growth,450,ES48B1D06FA619E7A5EA,organizational analysis,Low Resilience,Business,"Business, Finance, and Marketing",13,13,Business Analysis,Business,High Value,Business,1.78105308,0.463112227,23.75,2.94E-05,0.58421772,0.58421772,1.853952,0.590700422,6.846154,0.698840511,1.602814281,0.143567776,0.110768366,0.110768366,17,0.209876543,7.25,0.011660189,"$96,000 ",0.472196041,"['organisational analysis', 'organisational analysis management', 'organisational diagnosis']","['1363c7ebac1b5dbfe040137721c1cea4f0e4ec86c0ab0a1ee937ce82500d9177', 'f33594b37ca31e084668e69dc10caee5097018423d0533e36a9ae000da16e207', '5c2493d81b138b1b638a771786731d3bfcb26e811f39deafbfea479444901c27']"
High Demand,High Difficulty,Low Growth,451,KS123GG6CBGST8FDPNZ8,embedded systems,High Resilience,"Information Technology, Other",Information Technology,15,15,Computer Science,IT,High Value,Information Technology,1.730358027,0.457767552,4189.25,0.006643846,0.494570003,0.494570003,2.029187,0.647423995,4.298914,0.378518463,0.943273909,0.078298937,0.353634126,0.353634126,46,0.567901235,64.75,0.139367018,"$75,000 ",0.340245052,"['embedded system integration', 'embedded systems interface design', 'embedded systems programming']","['3254db8370d4b768aca5a60e39fa1542b14edf1ff7fadc00e19fac9bd9633cbc', '4dbb6f0feddc8a0ca47891f20e14a13be789ef8b5572f0cc63ffa0642736bc94', 'a4a2377d6c9c8d059de1c31ec0ed9318d3c25a9eb52ed96506fa0ff935da32f9']"
High Demand,High Difficulty,Low Growth,452,KS1282466LM72S58GDWP,process integration,Low Resilience,Software Development and Programming,Information Technology,15,15,Software Development,IT,High Value,Information Technology,2.317238572,0.519641162,1336.75,0.002114312,0.532543685,0.532543685,2.064342,0.658803669,4.622309,0.419186225,0.696384931,0.053866532,0.250687204,0.250687204,34,0.419753086,38.75,0.081621321,"$66,000 ",0.283694628,['process integration'],['2926d0806509c72e4cb38e133548bf10490c70b271d2197b8012a8b52df22863']
High Demand,Low Difficulty,High Growth,453,KS1230H6C990449W00PS,emergency management,Low Resilience,Public Safety and National Security,"Law, Regulation, and Safety",21,21 & 23,Disaster Management,"Education, Law, and Community",Low Value,Public Safety and National Security,0.518893006,0.330045283,672.75,0.001059935,0.38193876,0.38193876,1.31403,0.41592766,4.468492,0.399843337,1.091006973,0.092918763,0.280865911,0.280865911,37,0.456790123,49.25,0.104941699,"$51,000 ",0.189443921,"['emergency management', 'emergency response and crisis management development and implementation', 'civil emergency management']","['d9ce424f834ce689894c2b23236d193f538b172bcbaf3751e891b99ed6dfba16', 'ca7b1ed0cdde6e420ec20fe68bd447ec3125b0aada5d7ceb99ce47eaef721c1e', 'b3ec5cec61adb20d8d8f88c9e95b67e053e8ee524eceeb223bee5c223759c21e']"
High Demand,Low Difficulty,High Growth,454,KS7G8GT6FMX6NJ5BWKF0,workplace safety,High Resilience,"Law, Regulation, and Compliance","Law, Regulation, and Safety",21,21 & 23,Occupational Health and Safety,"Education, Law, and Community",Low Value,"Law, Regulation, and Compliance",-1.180209997,0.150912344,15368.25,0.024395172,0.250383595,0.250383595,1.038023,0.326584188,3.465021,0.273654252,1.194474286,0.103158002,0.690401766,0.690401766,76,0.938271605,201.25,0.442531927,"$42,000 ",0.132893497,"['workplace safety and health system management', 'workplace safety and health for food and beverage operations', 'workplace safety and health', 'work at heights', 'workplace safety and health for forklift operations', 'workplace safety and health for marine mechanical installation', 'workplace safety and health for pipe fitting', 'workplace and facilities safety management', 'workplace safety and health for crane operations', 'confined space work', 'workplace safety and health business case development', 'apply workplace safety and health in logistics and transportation', 'apply workplace safety and health in shipyard (general trade)', 'manage workplace safety and health in shipbuilding and ship repair', 'workplace safety and health incident management', 'workplace safety and health management in chemical, process, pharmaceutical industries and laboratories', 'workplace safety and health management in service industry']","['0110ef2aadf4c1ad73ed8a9220d66d3be51147f6b1f6bb26ac59b484abb61727', 'c800c74ab4795c38b8e73c95d6c92e6479b63700ca153b1d63ae5f5363de449f', 'ea537c4f43398b74e99b2574ed3ba10a08212201ef6bbbfc4a3fb95e32e08f03', '44e61084c8e5365061f58f543862b8a7fc4ca6c87e3cacbfa79864526b789b5a', '486e93dd03b6c591cdc64cea2c60dc550126e2d0cfee5f4a4671cdbf2e9376ab', '3b16c7bb3efc1b8bb6dd0d5c967b3e1801f38577e48670d5c8ff99ac01a2bd68', '741c8e81d120ecc92545053931ccacad190cfd365e2788e7c09f4f0eef4b979c', '89992d233e284bcf24eb24c7551a550b3f8de18d30b415e8d2fff1791c78894a', '5b6bb895d818672ba57d0491a59fd4932c3c9b3a72898d6470bb59aab13d7b0f', 'a0d1f849c4d9e2c180905dfe2970efca3e0d3b0ed420ceb85b7d65b06e051878', 'a67fa83a2ca1d6bbfc6f2177ed32a2c81998f92103337d9aaf76e1b027761994', '1666e4f629fed030089434a6b0a72e6dfc53a4d8bf3ae595c9706b01cbc7c547', '7a491e50e7434a3534444b80ead9344fca20c321cf55629231bae484f3ca7639', '6fcf9e9563c24e6558f2eab25b5781debead8590b774a57d134b1e74996de0fd', '10e5ba14b6a73bacb52a9edb9c9818e44f43a3f8ea322702fafcf604f817fc27', '4c2bd191cf9d85fd4ebbfbd2c35c9b7396e56e89604d84ad91de1c422a67af9f', '12f29fc9feed63bdda113802b0776f129e700526a585873fb9b00710ee971d21']"
High Demand,Low Difficulty,Low Growth,455,KS4401D6PYRMFQC4HR62,resource management,High Resilience,Business,"Business, Finance, and Marketing",13,13,Business Management,Business,Low Value,Business,-1.201596996,0.148657556,21691,0.034435176,0.348696743,0.348696743,1.750551,0.557229516,3.994226,0.340203156,0.800723121,0.064191954,0.445040821,0.445040821,30,0.37037037,236,0.519711272,"$40,800 ",0.12535344,"['organisational resource management', 'resource management']","['d466b257c64b7b7f588d7c1340498560f9b6b99a7e7a55c8e761b2551c8eb2ef', '74223147079737f90d205ec176c32332ae9114fde2098ea7c7f8d5992846bb67']"
High Demand,Low Difficulty,High Growth,456,KS440X76WQQP92FXSGVW,staff management,High Resilience,Business,"Business, Finance, and Marketing",13,13,People Management,Business,Low Value,Business,-0.511529214,0.221409985,3747.25,0.005941986,0.376706629,0.376706629,1.396133,0.442504402,4.996212,0.466205498,1.274258353,0.111053521,0.371974418,0.371974418,42,0.518518519,103.5,0.225430316,"$48,000 ",0.170593779,['staff management'],['df36afa88bc6ccd186b7586c38bebcc0cd50c9af9b011fd153b7852dcbc71de1']
Low Demand,Low Difficulty,Low Growth,457,KSJVV3YRQ0AV3QVEMB94,service strategy,Low Resilience,Business,"Business, Finance, and Marketing",13,13,Business Strategy,Business,High Value,Business,1.067827274,0.387918295,425.5,0.000667322,0.455065465,0.455065465,1.234534,0.390194803,5.957447,0.587083297,0.986439182,0.082570619,0.228494458,0.228494458,30,0.37037037,41,0.086618545,"$84,300 ",0.39868049,"['strategic service excellence', 'service brand']","['1604036138b5ea108220d1cf9f241baafb02e6fcf575d29036b34468a7ad089f', 'f3bbbc6ebede3752de9de882df05a0d0ba274db524c79c2a827c1ff43b2cf1d4']"
High Demand,High Difficulty,High Growth,458,KS121996C1P31W0YZVNF,strategic management,Low Resilience,Business,"Business, Finance, and Marketing",13,13,Business Strategy,Business,High Value,Business,0.971537651,0.377766678,1647,0.002606963,0.540540067,0.540540067,1.964295,0.626418453,6.198808,0.61743507,1.048105631,0.088673199,0.287528876,0.287528876,37,0.456790123,55.25,0.118267629,"$90,000 ",0.434495759,['strategy development and implementation management'],['6e53f3c304ab2eb3a320738cb3a4ea1e1b68e9af84319c4b6d9b0ebd7abd0786']
Low Demand,High Difficulty,Low Growth,459,BGS4595ECD2BDFBA7906,cross-industry standard process for data mining (crisp-dm),Low Resilience,Data Management and Analytics,Information Technology,15,15,Data Science,IT,High Value,Analysis,2.656054938,0.555361876,76.75,0.000113536,0.493085479,0.493085479,2.120968,0.677133507,3.251163,0.246761053,0.875820677,0.071623691,0.110490742,0.110490742,17,0.209876543,7,0.011104942,"$75,300 ",0.342130066,"['data and statistical analysis', 'crisp-dm']","['f3ece3e9ac2f208c99abf380c8051100932c32c8ef9be40a443182aeccc59861', nan]"
Low Demand,Low Difficulty,High Growth,460,BGS48022A232EF0F1796,piping inspection,Low Resilience,"Maintenance, Repair, and Facility Services","Maintenance, Repair, and Facility Services",47,47,Plumbing,Trade Skills,Low Value,"Maintenance, Repair, and Facility Services",0.845327741,0.364460627,93,0.00013934,0.297109301,0.297109301,0.457338,0.138616441,4.376307,0.388250834,1.02650058,0.086535139,0.228820066,0.228820066,35,0.432098765,13.5,0.025541366,"$46,200 ",0.159283695,"['inspection engineering management', 'riser and service pipe inspection']","['5e287dc4c42e26d4126b416b0e3f8c611d94596d3c2daff39d8076b4e420e260', '3da8adf7f5bca0f0471a63ea5681e0c0b1b58f73f5ef9592999d02f01591a784']"
Low Demand,Low Difficulty,High Growth,461,KS1253Q6N4V7MZ4JZM9N,industrial instrumentation,Low Resilience,Engineering,Engineering and Construction,17,17 & 19,Industrial Engineering,"Science, Engineering, and Manufacturing",Low Value,Engineering,2.2437207,0.511890324,124,0.000188565,0.334072785,0.334072785,0.893007,0.279642506,2.964286,0.210685525,1.035135388,0.087389649,0.258998773,0.258998773,38,0.469135802,24,0.048861743,"$43,800 ",0.144203582,['instrumentation and control field maintenance management'],['5e6e821d63418e662dc353c3c4d6f05bc850cbfa0d8ce790d2b38d70ea8d7536']
High Demand,Low Difficulty,High Growth,462,KS1228G749LG7DDKN1Y6,condition monitoring,High Resilience,"Maintenance, Repair, and Facility Services","Maintenance, Repair, and Facility Services",47,47,Equipment Repair and Maintenance,Trade Skills,Low Value,"Maintenance, Repair, and Facility Services",1.194593973,0.401283048,720.5,0.001135758,0.399657766,0.399657766,1.27902,0.404594922,4.414831,0.393095327,1.127783871,0.096558245,0.355985358,0.355985358,48,0.592592593,55.75,0.119378123,"$51,000 ",0.189443921,"['process analyser maintenance management', 'condition monitoring']","['730f174fd86d44edf19e59e36dba95ef80b13dd59a31c07d49bc25461ef55ba3', 'bdd416c632d50526a3142e179dc5ba568a140c1d70ca38dd8262634ed0757e09']"
